* Measurement data measured by REW V5.20.13
* Source: EXCL: Microfoon (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0,540
* Format: 1M Log Swept Sine, 1 sweep at -9,0 dBFS with no timing reference
* Dated: 18-mrt-2023 16:47:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 1.9m hoogte 4,9ms window; 
* Measurement: hor 80
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
275.024435 61.795 20.6830
275.390646 61.863 20.3120
275.756857 61.930 19.9410
276.123068 61.998 19.5701
276.489279 62.065 19.1993
276.855490 62.132 18.8284
277.221701 62.199 18.4577
277.587912 62.265 18.0870
277.954123 62.332 17.7163
278.320334 62.398 17.3457
278.686544 62.464 16.9751
279.052755 62.529 16.6046
279.418966 62.595 16.2341
279.785177 62.660 15.8637
280.151388 62.726 15.4934
280.517599 62.791 15.1230
280.883810 62.855 14.7528
281.250021 62.920 14.3825
281.616232 62.984 14.0124
281.982443 63.049 13.6422
282.348654 63.113 13.2722
282.714865 63.177 12.9022
283.081076 63.240 12.5323
283.447287 63.304 12.1624
283.813498 63.367 11.7926
284.179709 63.430 11.4229
284.545920 63.493 11.0531
284.912131 63.556 10.6835
285.278342 63.619 10.3139
285.644553 63.681 9.9443
286.010764 63.743 9.5749
286.376975 63.805 9.2055
286.743186 63.867 8.8361
287.109397 63.929 8.4668
287.475608 63.991 8.0976
287.841819 64.052 7.7284
288.208030 64.113 7.3593
288.574241 64.174 6.9902
288.940452 64.235 6.6212
289.306663 64.296 6.2523
289.672873 64.356 5.8834
290.039084 64.417 5.5146
290.405295 64.477 5.1459
290.771506 64.537 4.7772
291.137717 64.597 4.4086
291.503928 64.657 4.0399
291.870139 64.716 3.6715
292.236350 64.776 3.3030
292.602561 64.835 2.9346
292.968772 64.894 2.5663
293.334983 64.953 2.1980
293.701194 65.012 1.8298
294.067405 65.070 1.4617
294.433616 65.129 1.0936
294.799827 65.187 0.7256
295.166038 65.245 0.3576
295.532249 65.303 -0.0102
295.898460 65.361 -0.3781
296.264671 65.418 -0.7458
296.630882 65.476 -1.1135
296.997093 65.533 -1.4812
297.363304 65.590 -1.8487
297.729515 65.647 -2.2162
298.095726 65.704 -2.5837
298.461937 65.761 -2.9511
298.828148 65.818 -3.3184
299.194359 65.874 -3.6856
299.560570 65.930 -4.0528
299.926781 65.987 -4.4200
300.292992 66.043 -4.7870
300.659203 66.098 -5.1540
301.025413 66.154 -5.5210
301.391624 66.210 -5.8878
301.757835 66.265 -6.2547
302.124046 66.320 -6.6214
302.490257 66.376 -6.9881
302.856468 66.431 -7.3547
303.222679 66.485 -7.7213
303.588890 66.540 -8.0878
303.955101 66.595 -8.4542
304.321312 66.649 -8.8206
304.687523 66.703 -9.1869
305.053734 66.758 -9.5531
305.419945 66.812 -9.9194
305.786156 66.865 -10.2855
306.152367 66.919 -10.6515
306.518578 66.973 -11.0175
306.884789 67.026 -11.3835
307.251000 67.080 -11.7493
307.617211 67.133 -12.1152
307.983422 67.186 -12.4809
308.349633 67.239 -12.8466
308.715844 67.292 -13.2122
309.082055 67.344 -13.5777
309.448266 67.397 -13.9433
309.814477 67.449 -14.3087
310.180688 67.502 -14.6741
310.546899 67.554 -15.0394
310.913110 67.606 -15.4047
311.279321 67.658 -15.7699
311.645532 67.709 -16.1350
312.011743 67.761 -16.5000
312.377953 67.813 -16.8650
312.744164 67.864 -17.2300
313.110375 67.915 -17.5949
313.476586 67.966 -17.9597
313.842797 68.017 -18.3244
314.209008 68.068 -18.6892
314.575219 68.119 -19.0538
314.941430 68.170 -19.4184
315.307641 68.220 -19.7829
315.673852 68.270 -20.1473
316.040063 68.321 -20.5117
316.406274 68.371 -20.8761
316.772485 68.421 -21.2404
317.138696 68.471 -21.6046
317.504907 68.521 -21.9688
317.871118 68.570 -22.3329
318.237329 68.620 -22.6969
318.603540 68.669 -23.0609
318.969751 68.719 -23.4248
319.335962 68.768 -23.7887
319.702173 68.817 -24.1525
320.068384 68.866 -24.5162
320.434595 68.915 -24.8799
320.800806 68.963 -25.2436
321.167017 69.012 -25.6071
321.533228 69.060 -25.9706
321.899439 69.109 -26.3340
322.265650 69.157 -26.6975
322.631861 69.205 -27.0608
322.998072 69.253 -27.4241
323.364282 69.301 -27.7873
323.730493 69.349 -28.1505
324.096704 69.397 -28.5136
324.462915 69.444 -28.8766
324.829126 69.492 -29.2396
325.195337 69.539 -29.6025
325.561548 69.586 -29.9654
325.927759 69.633 -30.3282
326.293970 69.680 -30.6910
326.660181 69.727 -31.0537
327.026392 69.774 -31.4164
327.392603 69.821 -31.7789
327.758814 69.867 -32.1415
328.125025 69.914 -32.5040
328.491236 69.960 -32.8664
328.857447 70.007 -33.2288
329.223658 70.053 -33.5911
329.589869 70.099 -33.9533
329.956080 70.145 -34.3155
330.322291 70.191 -34.6777
330.688502 70.236 -35.0397
331.054713 70.282 -35.4018
331.420924 70.327 -35.7637
331.787135 70.373 -36.1257
332.153346 70.418 -36.4875
332.519557 70.463 -36.8494
332.885768 70.508 -37.2111
333.251979 70.553 -37.5728
333.618190 70.598 -37.9345
333.984401 70.643 -38.2961
334.350612 70.688 -38.6576
334.716822 70.732 -39.0191
335.083033 70.777 -39.3805
335.449244 70.821 -39.7419
335.815455 70.866 -40.1032
336.181666 70.910 -40.4645
336.547877 70.954 -40.8257
336.914088 70.998 -41.1869
337.280299 71.042 -41.5480
337.646510 71.085 -41.9090
338.012721 71.129 -42.2701
338.378932 71.173 -42.6310
338.745143 71.216 -42.9919
339.111354 71.260 -43.3527
339.477565 71.303 -43.7135
339.843776 71.346 -44.0743
340.209987 71.389 -44.4350
340.576198 71.432 -44.7956
340.942409 71.475 -45.1562
341.308620 71.518 -45.5167
341.674831 71.561 -45.8772
342.041042 71.603 -46.2376
342.407253 71.646 -46.5980
342.773464 71.688 -46.9583
343.139675 71.730 -47.3186
343.505886 71.773 -47.6788
343.872097 71.815 -48.0390
344.238308 71.857 -48.3991
344.604519 71.899 -48.7592
344.970730 71.941 -49.1192
345.336941 71.982 -49.4791
345.703151 72.024 -49.8391
346.069362 72.066 -50.1989
346.435573 72.107 -50.5587
346.801784 72.148 -50.9185
347.167995 72.190 -51.2782
347.534206 72.231 -51.6378
347.900417 72.272 -51.9975
348.266628 72.313 -52.3570
348.632839 72.354 -52.7165
348.999050 72.395 -53.0760
349.365261 72.436 -53.4354
349.731472 72.476 -53.7947
350.097683 72.517 -54.1540
350.463894 72.557 -54.5133
